Date,Site,Turbidity,EC,pH,Lab #,DOC,rep-2 DOC ppm,PO4,rep-2 PO4,TP,rep-2 TP,NO3,rep-2 NO3,NH4,rep-2 NH4,TN,rep-2 TN,Amount Filtered,Chl,Pheo,Acidification Ratio
4/26/19,Baby Marsh,12.2,456.4,7.81,DC 39,5.156,,0.17,,0.235,,0.474,,0.014,,0.818,,565,6.095,5.232,1.31
5/7/19,Baby Marsh,21.4,537.3,7.95,DC 40,6.442,,0.134,,0.231,,0.3,0.298,0.012,0.011,0.706,0.717,500,1.929,1.695,1.31
5/23/19,Baby Marsh,19,506,7.87,DC 41,5.926,,0.147,,0.244,,0.964,,0.014,,1.378,,500,3.568,3.222,1.3
5/3/19,Wendells,6.83,54.79,7.35,DC 42,1.839,1.672,0.009,,0.075,,0.081,,0.008,,0.313,,1000,0.527,0.375,1.34
5/6/19,XSSAC,11.7,114.9,7.68,DC 43,2.199,,0.018,,0.059,,0.219,,0.016,,0.305,,500,3.769,1.809,1.39
5/8/19,Wendells,4.75,52.73,7.73,DC 44,1.461,,0.007,,0.039,,0.137,,0.008,,0.238,,1000,1.069,0.638,1.36
5/15/19,Wendells,3.76,50.72,7.58,DC 45,1.492,,0.009,,0.098,,0.17,,0.01,,0.305,0.307,500,0.614,0.359,1.36
5/21/19,XSSAC,15.3,122.4,7.44,DC 46,1.928,,0.028,,0.075,,0.286,0.286,0.008,,0.396,,500,3.155,2.416,1.33
6/3/19,Cos Beach,1.47,77.18,7.3,DC 47,2.408,,0.141,,0.176,,0.359,,0.016,,0.56,,500,1.308,1.302,1.29
6/3/19,Mok-USRR,5.56,41.21,7.39,DC 48,1.809,,0.003,,0.026,,0.059,,0.012,,0.24,,500,0.729,0.894,1.26
6/3/19,Wendells,3.27,53.29,7.24,DC 49,2.046,,0.033,,0.066,,0.591,,0.016,,0.738,,500,0.58,0.369,1.35
6/4/19,XSSAC,14.4,101.8,7.28,DC 50,1.773,1.747,0.025,,0.085,,0.309,,0.01,,0.483,,500,0.989,0.621,1.35
6/4/19,Baby Marsh,13.8,532.9,7.5,DC 51,4.876,,0.185,,0.27,,0.397,,0.016,,0.738,0.736,500,2.602,2.707,1.28
6/18/19,Wendells,2.04,53.6,7.7,DC 52,1.299,,0.004,,0.013,,0.037,,0.009,,0.103,,1000,0.77,0.461,1.36
6/18/19,XSSAC,9.91,135.2,7.5,DC 53,1.604,,0.028,,0.052,,0.197,,0.005,0.006,0.297,,500,1.856,0.999,1.37
6/19/19,Cos Beach,5.11,64.27,7.52,DC 54,1.481,,0.016,,0.043,,0.094,,0.008,,0.215,,875,4.826,1.015,1.48
6/19/19,Mok-USRR,4.62,38.81,7.46,DC 55,1.544,,0.004,,0.026,,0.072,,0.007,,0.169,,1000,1.191,1.463,1.26
6/20/19,Baby Marsh,18.3,365.7,7.5,DC 56,4.564,4.632,0.186,,0.29,,0.171,0.173,0.012,,0.533,0.533,500,2.041,2.242,1.27
7/25/19,Baby Marsh,9.81,300.5,7.84,water DC 64,4.12,,0.208,,0.256,,0.11,,0,,0.501,,500,1.068,0.742,1.34
7/25/19,Cos Beach,10.4,54.53,7.67,water DC 63,1.85,,0.019,,0.067,,0.258,,0,,0.491,,500,2.075,1.241,1.36
7/25/19,Mok-USRR,2.82,32.12,7.66,water DC 61,1.879,,0.007,,0.021,,0.126,0.126,0,0,0.338,0.338,1000,0.354,0.563,1.22
7/25/19,XSSAC,8.26,119,7.67,water DC 62,1.717,,0.024,0.028,0.071,0.061,0.116,,0,,0.289,,1000,3.644,1.733,1.39
8/20/19,Mok-USRR,2.18,33.43,7.82,water DC 65,1.889,,0.006,,0.021,,0.054,,0.09,,0.265,,1000,0.469,0.569,1.261
8/20/19,XSSAC,8.97,123.5,7.69,water DC 66,1.766,,0.025,,0.071,,0.147,0.147,0,0,0.359,,1000,2.808,1.318,1.392
8/20/19,Cos Beach,10.6,42.31,7.69,water DC 67,2.135,,0.009,,0.067,,0.132,,0.009,,0.381,,500,4.45,2.844,1.352
8/20/19,Baby Marsh,14.2,195.1,7.99,water DC 68,4.005,,0.204,,0.256,,0.081,,0.004,,0.473,,500,1.968,1.826,1.299
9/10/19,Mok-USRR,2.72,33.58,7.52,water DC 69,1.798,,0.006,0.006,0.018,0.018,0.015,,0.053,,0.204,0.204,1475,0.59,0.625,1.28
9/10/19,XSSAC,6.87,118.4,7.9,water DC 70,1.815,,0.018,,0.034,,0.068,,0.024,,0.225,,1500,2.441,0.91,1.42
9/10/19,Cos Beach,17.6,44.08,7.68,water DC 71,2.287,,0.01,,0.08,,0.006,,0.159,,0.421,,470,6.605,3.436,1.379
9/10/19,Baby Marsh,12.2,456.1,8.23,water DC 72,5.408,,0.164,,0.201,,0.074,0.075,0.108,0.11,0.658,,1000,1.56,1.655,1.28
10/15/19,Mok-USRR,1.85,33.67,7.8,water DC 73,1.925,,0.004,,0.021,,0.01,,0.106,,0.271,,1000,0.617,0.438,1.337
10/15/19,XSSAC,6.15,121.8,7.74,water DC 74,1.517,,0.021,,0.493,,0.098,,0.047,,0.304,,500,2.634,1.493,1.368
10/15/19,Cos Beach,14,57.09,7.74,water DC 75,2.275,,0.006,,0.064,,0.003,,0.108,,0.365,,500,5.578,2.362,1.405
10/15/19,Baby Marsh,7.79,253.3,8.28,water DC 76,4.267,,0.116,0.117,0.172,0.172,0.01,0.01,0.081,0.081,0.461,0.464,1000,1.017,0.675,1.347
5/22/19,Cos Beach,7.1,42.19,6.98,DC 87,1.842,,0.006,,0.031,,0.09,,0.009,,0.239,,500,3.358,2.135,1.35
5/22/19,Mok-USRR,3.21,81.05,6.79,DC 88,2.839,,0.052,,0.09,,0.227,,0.009,,0.408,,500,1.121,1.107,1.29
3/10/19,Knaggs,106,367.3,7.8,DC 79,5.344,,0.135,0.135,0.375,0.372,0.675,0.668,0.022,0.023,1.296,1.3,,,,
3/13/19,Knaggs,94.5,313.3,7.6,DC 80,5.727,,0.14,,0.343,,0.648,,0.019,,1.31,,250,8.914,2.177,1.46
3/22/19,Knaggs,30.9,459.6,7.71,DC 81,6.3,,0.143,,0.259,,0.367,,0.023,,1.1,,425,11.583,3.333,1.45
4/2/19,Knaggs,616,835.7,8.05,DC 82,5.138,,0.149,,0.442,,0.556,,0.022,,1.324,,250,24.223,8.009,1.43
11/19/19,Mok-USRR,1.78,49.33,7.38,DC 109,1.718,,0,,0.003,0.003,0.018,0.018,0.071,0.07,0.243,,1065,0.318,0.487,1.228
11/19/19,XSSAC,5.78,157.3,7.89,DC 110,1.648,,0.021,0.021,0.075,,0.186,,0.029,,0.423,0.428,1000,1.928,1.249,1.35
11/19/19,Cos Beach,7.59,46,7.49,DC 111,1.764,,0.003,,0.036,,0.186,,0.093,,0.279,,1000,0.68,0.799,1.265
11/19/19,Baby Marsh,7.5,365.9,8.07,DC 112,2.781,,0.069,,0.072,,0.028,,0.053,,0.332,,1000,1.259,1.122,1.305
12/9/19,Wendells,48.4,118.6,7.51,DC 113,4.758,,0.054,,0.209,,1.124,1.143,0.045,,1.676,,325,5.453,4.053,1.331
12/10/19,Mok-USRR,1.74,40.92,7.84,DC 114,1.646,,0.006,,0.013,0.013,0.032,,0.062,,0.352,,1000,0.686,0.659,1.294
12/10/19,XSSAC,28.5,153.2,7.68,DC 115,2.697,,0.033,,0.137,,0.51,,0.03,,0.876,,740,4.501,4.735,1.281
12/10/19,Cos Beach,14.8,114.3,7.9,DC 116,3.667,,0.033,,0.098,,0.379,0.369,0.14,0.138,0.94,,500,3.866,1.843,1.391
12/10/19,Baby Marsh,11.4,471.6,7.88,DC 117,5.449,,0.125,,0.18,,0.118,,0.082,,0.673,,825,0.633,1.461,1.174
1/9/20,Mok-USRR,1.26,41.81,8.1,DC 118,1.627,,0,0,0.01,,0.01,,0.05,,0.243,0.236,1500,0.455,0.647,1.238
1/8/20,XSSAC,8.99,205.3,7.98,DC 119,1.951,,0.019,,0.049,,0.214,,0.16,,0.638,,1000,3.977,1.499,1.419
1/9/20,Cos Beach,5.62,142.7,8.17,DC 120,2.182,,0.143,,0.176,,0.148,,0.457,,1.069,,1000,1.993,1.129,1.368
1/9/20,Baby Marsh,5.63,610.9,8.19,DC 121,4.537,,0.081,,0.121,,0.118,,0.077,,0.712,,1500,1.035,0.876,1.312
1/8/20,Knaggs,23.5,502.4,8.08,DC 122,5.357,,0.04,,0.141,,0.042,,0.132,,0.642,,500,8.871,2.956,1.433
2/10/20,Mok-USRR,3.31,35.93,6.88,DC 148,1.695,,0,,0.01,0.01,0.007,,0.059,,0.32,,1850,0.674,0.447,1.347
2/10/20,Knaggs,1000,604.5,7.77,DC 149,9.197,,0.117,,0.548,,0.129,0.124,0.269,,1.759,1.652,200,3.544,4.423,1.257
2/10/20,Cos Beach,9.19,156.1,7.52,DC 150,2.852,,0.03,,0.075,,0.029,,0.141,0.139,0.5,,500,6.499,1.064,1.496
2/11/20,Baby Marsh,5.65,681.1,7.97,DC 151,4.659,,0.093,,0.147,,0.083,,0.144,,0.796,,1000,1.295,1.036,1.321
2/12/20,XSSAC,13.7,169.5,7.83,DC 152,2.599,,0.015,,0.056,,0.192,,0.107,,0.605,,850,4.688,0.974,1.477
2/18/20,Mok-USRR,1.91,35.36,7.74,DC 153,1.815,,0,,0.033,,0.006,,0.039,,0.573,,1500,0.55,0.638,1.267
2/20/20,Knaggs,53.4,601.9,7.92,DC 154,10.929,,0.186,0.185,0.488,,0.016,,0.703,,2.335,,500,1.407,1.835,1.25
2/18/20,Cos Beach,5.26,125.5,7.68,DC 155,2.416,,0.077,,0.088,,0.083,,0.061,,0.711,0.7,1000,2.045,1.767,1.309
2/18/20,Baby Marsh,7.26,694.4,8.15,DC 156,4.89,,0.093,,0.105,,0.067,0.067,0.04,,0.788,,1000,1.605,1.632,1.286
2/20/20,XSSAC,14.3,158.2,7.97,DC 157,2.644,,0.01,,0.043,0.043,0.108,,0.085,,0.645,,800,5.874,1.697,1.447
2/25/20,Mok-USRR,2.4,48.51,7.67,DC 158,1.823,,0,,0.01,,0.007,,0,0,0.271,,1000,0.234,0.265,1.271
2/24/20,Knaggs,44.1,605.7,8.2,DC 159,11.849,,0.15,,0.37,,0.008,,0.182,,1.252,,700,1.134,0.849,1.33
2/25/20,Cos Beach,16.1,149.7,7.88,DC 160,4.119,,0.024,,0.095,,0.008,,0.061,,0.544,,500,11.906,3.056,1.459
2/25/20,Baby Marsh,5.84,698.4,8.25,DC 161,5.743,,0.09,0.092,0.124,,0.054,,0.032,,0.944,,950,1.44,1.831,1.254
2/25/20,XSSAC,9.69,200.2,8.03,DC 162,2.461,,0.01,,0.056,,0.082,,0.023,,0.4,0.411,1000,6.558,1.469,1.471
3/3/20,Mok-USRR,2.35,50.68,7.76,DC 163,1.974,,0,,0.023,,0.01,0.011,0.002,,0.754,,1500,0.228,0.314,1.243
3/2/20,Knaggs,392,641.3,8.27,DC 164,12.72,,0.144,,0.751,,0.012,,0.199,,1.642,,150,26.621,12.141,1.396
3/3/20,Cos Beach,10.3,122.8,8,DC 165,2.674,,0.039,,0.092,,0.013,,0.03,,0.791,,700,6.461,1.465,1.47
3/3/20,Baby Marsh,7.47,699.2,8.4,DC 166,5.673,,0.116,,0.186,,0.084,,0.03,,0.74,,800,1.684,1.678,1.289
3/3/20,XSSAC,7.28,183.3,8.11,DC 167,2.107,,0.007,0.007,0.039,0.043,0.085,0.084,0.013,0.015,0.476,0.481,1000,5.247,1.753,1.432
3/9/20,Baby Marsh,5.17,,,DC 168,5.027,,0.14,,0.144,,0.315,0.315,0.006,0.005,0.762,0.77,750,1.203,2.359,1.195
3/9/20,Cos Beach,27.7,,,DC 169,3.227,,0.019,,0.116,,0.154,,0.004,,0.587,,400,11.129,5.851,1.378
3/9/20,Mok-USRR,1.07,,,DC 170,1.4,1.472,0.003,,0.018,,0.063,,0.006,,0.376,,1500,0.509,0.948,1.202
3/9/20,Knaggs,58.3,,,DC 171,14.489,13.772,0.214,0.215,0.379,0.37,0.245,,0.038,,1.397,,250,4.613,4.727,1.285
3/9/20,XSSAC,8.41,,,DC 172,2.463,,0.029,,0.03,,0.22,,0.002,,0.562,,950,4.683,2.806,1.361
3/16/20,Baby Marsh,10.5,,,DC 173,5.331,,0.157,,0.158,,0.282,,0.007,,0.717,0.721,750,1.026,2.536,1.166
3/16/20,Cos Beach,8.29,,,DC 174,4.253,,0.042,,0.066,,0.14,,0.01,,0.458,,600,3.012,2.706,1.304
3/16/20,Mok-USRR,1.57,,,DC 175,1.793,,0.01,,0.024,,0.111,0.111,0.132,,0.442,,1000,0.633,0.672,1.28
3/16/20,XSSAC,11.7,,,DC 176,1.973,,0.035,,0.045,,0.256,,0.009,,0.518,,700,6.732,3.654,1.374
3/17/20,Knaggs,14.8,,,DC 177,12.479,12.49,0.217,,0.245,,0.015,,0.232,0.232,1.208,,500,5.786,5.396,1.298
3/22/20,Baby Marsh,11.7,,,DC 178,5.866,,0.13,,0.152,,0.184,,0.006,,0.661,,750,1.075,2.166,1.191
3/22/20,Cos Beach,20,,,DC 179,7.649,,0.062,,0.134,,0.465,,0.007,,1.433,1.427,350,11.449,4.854,1.405
3/22/20,Mok-USRR,2.2,,,DC 180,1.806,,0.009,,0.033,,0.021,,0.089,,0.515,,1000,0.574,0.706,1.259
3/23/20,Knaggs,23.5,,,DC 181,19.554,18.321,0.315,0.31,0.438,,0.002,,0.993,0.993,2.518,,150,43.851,35.06,1.32
3/23/20,XSSAC,8.59,,,DC 182,2.555,,0.032,,0.057,,0.294,0.294,0.002,,0.758,,750,4.596,3.229,1.339
5/7/20,Baby Marsh,18.2,,,DC 183,5.923,,0.25,,0.254,,0.088,0.088,0.078,,0.815,0.809,500,1.079,2.476,1.175
5/7/20,Cos Beach,22.3,,,DC 184,2.661,2.996,0.032,,0.125,,0.018,,0.233,0.23,0.894,,400,10.186,6.503,1.352
5/7/20,Mok-USRR,3.59,,,DC 185,1.708,,0.027,,0.063,,0.01,,0.107,,0.603,,1500,2.804,1.343,1.39
5/7/20,XSSAC,9.13,,,DC 186,2.178,,0.071,,0.084,,0.055,0.055,0.161,,0.705,,750,1.351,1.802,1.247
6/9/20,Baby Marsh,11.6,,,DC 187,4.179,,0.264,,0.28,0.283,0.027,,0.096,,0.805,,500,1.189,1.682,1.239
6/9/20,Cos Beach,6.06,,,DC 188,2.184,,0.018,,0.039,,0.006,,0.058,,0.391,,500,0.776,1.244,1.222
6/9/20,Mok-USRR,2.39,,,DC 189,2.267,,0.024,,0.048,,0.009,,0.163,,0.651,,500,1.68,1.352,1.32
6/9/20,XSSAC,3.36,,,DC 190,4.729,4.968,0.101,0.103,0.137,,0.038,0.038,1.078,1.09,1.96,1.971,500,2.907,2.105,1.335